sku_id,product_name,category,on_hand_units,avg_daily_demand,days_of_cover,lead_time_days,risk_category,inventory_value_at_stake
SKU001,Product 001,Furniture,771,13.075423301962687,58.96558621427339,4,Healthy,2824982.5500000003
SKU002,Product 002,Home Decor,526,9.299284134619912,56.5634937469839,3,Healthy,2001792.94
SKU003,Product 003,Kitchen,349,5.397577781686438,64.658632837887,3,Markdown / Clear,2819302.27
SKU004,Product 004,Lighting,259,4.544103983560556,56.996935135507,6,Healthy,1777146.63
SKU005,Product 005,Storage,471,15.395322631905273,30.59370766442396,6,Healthy,4471306.62
SKU006,Product 006,Furniture,359,5.832772952039535,61.548769847876414,13,Markdown / Clear,2910068.36
SKU007,Product 007,Home Decor,207,21.109332097967712,9.806089507679346,8,Healthy,1058616.6300000001
SKU008,Product 008,Kitchen,325,15.064448468945985,21.573972699362905,3,Healthy,3198858.0
SKU009,Product 009,Lighting,75,10.043680715224847,7.46738194159341,7,Healthy,175266.75
SKU010,Product 010,Storage,83,15.382976947237646,5.39557462022359,13,Reorder Now,55067.18
SKU011,Product 011,Furniture,753,3.239711834869292,232.4280795271349,3,Markdown / Clear,1087753.68
SKU012,Product 012,Home Decor,47,21.659822514212763,2.169916210955076,12,Reorder Now,412630.39
SKU013,Product 013,Kitchen,151,12.892715837456283,11.712039721011342,4,Healthy,869424.7799999999
SKU014,Product 014,Lighting,309,18.608173352549557,16.605606264822498,10,Healthy,701661.75
SKU015,Product 015,Storage,187,3.7819919448477783,49.44484354461696,9,Healthy,1161666.44
SKU016,Product 016,Furniture,255,12.669071981892088,20.12775682105774,11,Healthy,552539.1000000001
SKU017,Product 017,Home Decor,95,13.45974723021353,7.058082025994547,12,Reorder Now,805345.4
SKU018,Product 018,Kitchen,235,21.5674299763638,10.896059486806793,8,Healthy,1310221.3499999999
SKU019,Product 019,Lighting,227,14.764564824347946,15.374648877267203,14,Healthy,1094105.9500000002
SKU020,Product 020,Storage,1002,13.318669284764326,75.23274124286738,3,Markdown / Clear,3905335.08
SKU021,Product 021,Furniture,88,7.6159467971299115,11.55470256608975,9,Healthy,678592.64
SKU022,Product 022,Home Decor,95,9.326388027439942,10.186151350393379,8,Healthy,436717.85
SKU023,Product 023,Kitchen,130,13.56887854565706,9.58074755865573,12,Healthy,184176.2
SKU024,Product 024,Lighting,341,12.049715265547768,28.299423885556724,14,Healthy,603184.6699999999
SKU025,Product 025,Storage,1124,2.9254973969901608,384.2081695770452,14,Markdown / Clear,12991203.24
SKU026,Product 026,Furniture,160,19.43331370614463,8.23328447321928,5,Healthy,1750326.4000000001
SKU027,Product 027,Home Decor,567,21.62800299467977,26.21601264524863,3,Healthy,4828912.2
SKU028,Product 028,Kitchen,174,5.089443154923305,34.18841604148383,11,Healthy,606231.66
SKU029,Product 029,Lighting,261,14.456411867734758,18.054272553103267,5,Healthy,3038679.45
SKU030,Product 030,Storage,166,4.47132354813104,37.12547262865512,9,Healthy,1565962.6600000001
SKU031,Product 031,Furniture,93,16.440823304736302,5.65665102508634,13,Reorder Now,810581.49
SKU032,Product 032,Home Decor,278,8.751250452752478,31.766888800738453,11,Healthy,1560300.02
SKU033,Product 033,Kitchen,208,16.530430031553145,12.582854747454927,12,Healthy,740064.0
SKU034,Product 034,Lighting,34,18.41224852954401,1.8465968426096426,5,Healthy,51616.76
SKU035,Product 035,Storage,670,18.467622469133588,36.27971067308878,8,Healthy,7283027.300000001
SKU036,Product 036,Furniture,383,4.655123540584365,82.27493785308249,3,Markdown / Clear,2178121.0
SKU037,Product 037,Home Decor,355,21.401179164583226,16.587871035979592,8,Healthy,975334.1
SKU038,Product 038,Kitchen,159,7.563529421102963,21.02193184525401,12,Healthy,627906.9
SKU039,Product 039,Lighting,93,3.246232079564447,28.648598658564786,3,Healthy,662062.35
SKU040,Product 040,Storage,67,13.825771319018257,4.84602258015342,9,Reorder Now,164187.52
SKU041,Product 041,Furniture,440,10.414938071884102,42.24701068437581,4,Healthy,4548161.2
SKU042,Product 042,Home Decor,90,19.856278435252634,4.5325714127887595,6,Healthy,827894.7
SKU043,Product 043,Kitchen,559,19.462976708722948,28.72119760331761,12,Healthy,4888885.430000001
SKU044,Product 044,Lighting,223,8.433822601648254,26.44115373690908,5,Healthy,1206938.44
SKU045,Product 045,Storage,307,21.37941284666702,14.359608573060523,4,Healthy,2356771.46
SKU046,Product 046,Furniture,119,8.159545281625528,14.584146039115193,4,Healthy,853889.26
SKU047,Product 047,Home Decor,201,13.983782234614363,14.37379362948461,9,Healthy,1595582.22
SKU048,Product 048,Kitchen,106,8.045946199857736,13.174336164697973,3,Healthy,146232.3
SKU049,Product 049,Lighting,780,21.68764952918091,35.96516989775695,5,Healthy,4074228.6
SKU050,Product 050,Storage,328,5.7145992270206305,57.39685093735024,14,Healthy,289532.16000000003
