sku_id,product_name,category,subcategory,launch_date,unit_cost,list_price,gross_margin_per_unit,is_loss_making
SKU001,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,False
SKU002,Product 002,Home Decor,Table,2024-05-01,3867.09,3805.69,-61.4,True
SKU003,Product 003,Kitchen,Cushion,2023-12-22,589.48,8078.23,7488.75,False
SKU004,Product 004,Lighting,Cookware,2023-04-28,1445.74,6861.57,5415.83,False
SKU005,Product 005,Storage,Lamp,2023-04-22,5543.63,9493.22,3949.59,False
SKU006,Product 006,Furniture,Shelf,2024-08-02,6021.91,8106.04,2084.13,False
SKU007,Product 007,Home Decor,Cabinet,2022-04-05,7748.2,5114.09,-2634.11,True
SKU008,Product 008,Kitchen,Rug,2024-02-07,2775.15,9842.64,7067.49,False
SKU009,Product 009,Lighting,Organizer,2022-08-10,3121.06,2336.89,-784.17,True
SKU010,Product 010,Storage,Sofa,2022-04-14,3889.06,663.46,-3225.6,True
SKU011,Product 011,Furniture,Chair,2023-08-03,1718.4,1444.56,-273.84,True
SKU012,Product 012,Home Decor,Table,2024-12-09,1256.89,8779.37,7522.48,False
SKU013,Product 013,Kitchen,Cushion,2024-03-20,3936.71,5757.78,1821.07,False
SKU014,Product 014,Lighting,Cookware,2024-04-17,2008.55,2270.75,262.2,False
SKU015,Product 015,Storage,Lamp,2024-02-29,5441.06,6212.12,771.06,False
SKU016,Product 016,Furniture,Shelf,2024-05-14,3637.93,2166.82,-1471.11,True
SKU017,Product 017,Home Decor,Cabinet,2023-07-19,6703.26,8477.32,1774.06,False
SKU018,Product 018,Kitchen,Rug,2022-05-21,5677.05,5575.41,-101.64,True
SKU019,Product 019,Lighting,Organizer,2024-07-12,2670.84,4819.85,2149.01,False
SKU020,Product 020,Storage,Sofa,2023-05-11,6700.01,3897.54,-2802.47,True
SKU021,Product 021,Furniture,Chair,2023-07-05,6486.92,7711.28,1224.36,False
SKU022,Product 022,Home Decor,Table,2023-02-12,3252.96,4597.03,1344.07,False
SKU023,Product 023,Kitchen,Cushion,2022-07-20,2484.54,1416.74,-1067.8,True
SKU024,Product 024,Lighting,Cookware,2024-10-16,5539.34,1768.87,-3770.47,True
SKU025,Product 025,Storage,Lamp,2024-05-09,1333.08,11558.01,10224.93,False
SKU026,Product 026,Furniture,Shelf,2023-12-10,1799.29,10939.54,9140.25,False
SKU027,Product 027,Home Decor,Cabinet,2023-03-19,307.06,8516.6,8209.54,False
SKU028,Product 028,Kitchen,Rug,2024-06-24,6348.66,3484.09,-2864.57,True
SKU029,Product 029,Lighting,Organizer,2023-08-23,5402.59,11642.45,6239.86,False
SKU030,Product 030,Storage,Sofa,2023-05-03,5715.03,9433.51,3718.48,False
SKU031,Product 031,Furniture,Chair,2023-05-11,6300.65,8715.93,2415.28,False
SKU032,Product 032,Home Decor,Table,2022-09-07,3806.6,5612.59,1805.99,False
SKU033,Product 033,Kitchen,Cushion,2022-04-12,4657.74,3558.0,-1099.74,True
SKU034,Product 034,Lighting,Cookware,2023-09-03,1333.43,1518.14,184.71,False
SKU035,Product 035,Storage,Lamp,2024-09-03,1137.61,10870.19,9732.58,False
SKU036,Product 036,Furniture,Shelf,2022-03-12,5430.12,5687.0,256.88,False
SKU037,Product 037,Home Decor,Cabinet,2024-08-02,3901.0,2747.42,-1153.58,True
SKU038,Product 038,Kitchen,Rug,2024-06-29,4630.58,3949.1,-681.48,True
SKU039,Product 039,Lighting,Organizer,2022-11-01,6178.74,7118.95,940.21,False
SKU040,Product 040,Storage,Sofa,2023-11-26,5169.07,2450.56,-2718.51,True
SKU041,Product 041,Furniture,Chair,2022-07-01,4540.24,10336.73,5796.49,False
SKU042,Product 042,Home Decor,Table,2024-04-13,4583.86,9198.83,4614.97,False
SKU043,Product 043,Kitchen,Cushion,2024-02-10,2605.61,8745.77,6140.16,False
SKU044,Product 044,Lighting,Cookware,2023-01-25,488.84,5412.28,4923.44,False
SKU045,Product 045,Storage,Lamp,2022-03-16,3634.56,7676.78,4042.22,False
SKU046,Product 046,Furniture,Shelf,2024-12-03,1913.03,7175.54,5262.51,False
SKU047,Product 047,Home Decor,Cabinet,2023-05-06,3416.1,7938.22,4522.12,False
SKU048,Product 048,Kitchen,Rug,2024-09-09,6863.87,1379.55,-5484.32,True
SKU049,Product 049,Lighting,Organizer,2024-01-16,2063.03,5223.37,3160.34,False
SKU050,Product 050,Storage,Sofa,2024-05-06,701.85,882.72,180.87,False
